Co_ID,Co_name,Date,Time,Form,Message,More information,Video address,Attention
2454,聯發科,2022-01-27,15:00,線上法說會,(1) 公布本公司2021年第4季財務報告及2022年第1季業績展望。 (2) 參加方式：請參見https://corp.mediatek.tw/investor-relations/financial-information/quarterly-earnings,https://www.mediatek.com/,"
影音資訊網址：
https://webpage-ott2b.cdn.hinet.net/webpage/watch?contentProvider=mediatek&v=55199

同步收看網址
：
https://webpage-ott2b.cdn.hinet.net/webpage/watch?contentProvider=mediatek&v=55199

",無
2408,南亞科,2022-01-26,15:00,線上法說會,2021年第4季營運狀況說明,https://www.nanya.com,"
影音資訊網址：
https://www.nanya.com/tw/IR/13/Investor Calendar?Year=2022

",無
2241,艾姆勒,2022-01-26,14:30,線上法人說明會,本公司110年第4季營運狀況及財務資訊,http://www.amulaire.com/invest/stock, ,無
8046,南電,2022-01-26,14:30,線上法說會,本公司受邀參加玉山證券舉辦之線上法說會，說明本公司之營運概況,http://www.nanyapcb.com.tw/nypcb/chinese/InvestorRelations/Financials/FinancialReports.aspx, ,無
2303,聯電,2022-01-25,17:00,線上法說會,本公司2021年第四季財務暨營運報告。,http://www.umc.com,"
影音資訊網址：
https://www.umc.com/zh-TW/Download/quarterly_results/QuarterlyResultsDetail/2021/2021Q4

",無
6770,力積電,2022-01-25,15:00,線上,本公司2021年第四季財務暨營運報告,https://www.powerchip.com/,"
同步收看網址
：
https://psmc.webex.com/psmc-tc/j.php?MTID=m5b6c6bae9d9ff7036dac972cedd5cecd

影音資訊網址：
https://youtu.be/Jqjt7gKavUU

",無
6239,力成,2022-01-25,14:30,線上法說會,報告110年第4季營運成果及未來之營運展望。,https://www.pti.com.tw,"
同步收看網址
：
https://wms.gridow.com/ir/pti/pti_gtk_2021Q4.html

影音資訊網址：
https://wms.gridow.com/ir/pti/pti_gtk_2021Q4.html

",無。
3036,文曄,2022-01-25,14:00,線上法說會,本公司受邀參加凱基證券於111年1月25日舉辦之線上投資法人座談會，向投資人說明110年第3季營業成果及未來營運展望。,https://www.wtmec.com/WT/?page_id=2016, ,無。
9802,鈺齊-KY,2022-01-20,14:00,集思台大會議中心 (台北市大安區羅斯福路四段85號B1),受邀參加國票證券舉辦之法人說明會，就本公司財務及業務相關資訊做說明。,https://www.fulgentsun.com/investors05_1.asp, ,無。
6213,聯茂,2022-01-20,09:00,線上法說會。,本公司將於2022/01/20參加高盛證&#21173;投資人線上說明會，就本公司已公布之經營績效等相關資訊做說明。,http://www.iteq.com.tw, ,無
6581,鋼聯,2022-01-18,14:30,"台北遠東國際大飯店2樓 香格里拉廳
(台北市敦化南路二段201號)",本公司受邀參加康和證券舉辦之法人說明會，說明本公司之營運、財務及業務狀況。,https://www.tsutw.com.tw/index.php,"
影音資訊網址：
https://www.youtube.com/watch?v=D6BQ40bQfzM

",無。
